key,0
#,Status
int32,Status
0,""
1,"Straight Shot Ready"
2,"Freecure"
3,"Overcure"
4,"Thundercloud"
5,"Firestarter"
6,"Succor"
7,"Fang and Claw Bared"
8,"Wheel in Motion"
9,"Enhanced Slug Shot"
10,"Cleaner Shot"
11,"Enhanced Unleash"
12,"Enhanced Benefic II"
13,"Dive Ready"
14,"Enhanced Enpi"
15,"Verfire Ready"
16,"Verstone Ready"
17,"Impactful"
18,"Enhanced Scatter"
19,"Thundercloud"
20,"Riddle of Wind"
21,"Dualcast"
22,"Abridged"
23,"Riddle of Wind"
24,"Further Ruin"
25,"Flourishing Cascade"
26,"Flourishing Fountain"
27,"Flourishing Windmill"
28,"Flourishing Shower"
29,"Threefold Fan Dance"
30,""
31,"Requiescat"
32,"Draconian Fire"
33,"Ready to Rip"
34,"Ready to Tear"
35,"Ready to Gouge"
36,"Atonement Ready"
37,"Assassinate Ready"
38,"Flourishing Fan Dance"
39,"Sword Oath"
40,"Hellish Conduit"
41,"Nascent Chaos"
42,"Ready to Rip"
43,"Ready to Tear"
44,"Ready to Gouge"
45,"Soul Reaver"
46,"Confiteor Ready"
47,"Threshold"
48,"Soul Reaver"
49,"Threshold"
50,"Silken Symmetry"
51,"Silken Flow"
52,"Ready to Blast"
53,"Blast Arrow Ready"
54,"Delirium"
55,"Eukrasia"
56,"Enhanced Harpe"
57,"Soulsow"
58,"Raiju Ready"
59,"Fleeting Raiju Ready"
60,"Opo-opo Form"
61,"Primal Rend Ready"
62,"Phantom Kamaitachi Ready"
63,"Immortal Sacrifice"
64,"Improvisation"
65,"Flourishing Finish"
66,"Fourfold Fan Dance"
67,"Flourishing Starfall"
68,"Ifrit's Favor"
69,"Garuda's Favor"
70,"Eukrasia"
71,"Enhanced Harpe"
72,"Ogi Namikiri Ready"
73,"Enhanced Flare"
74,"Enhanced Gibbet"
75,"Enhanced Gallows"
76,"Titan's Favor"
77,"Shadowbite Ready"
78,"●コンフィテオル実行可"
79,"Enshrouded"
80,"Blackblood"
81,"Dark Arts"
82,"Ready to Blast"
83,"Powder Barrel"
84,"Relentless Rush"
85,"Cure III Ready"
86,"Eukrasia"
87,"Addersting"
88,"Repertoire"
89,"Blast Arrow Ready"
90,"Overheated"
91,"En Avant"
92,"Flourishing Saber Dance"
93,"Honing Dance"
94,"Earth Resonance"
95,"Heavensent"
96,"Life of the Dragon"
97,"Firstminds' Focus"
98,"Sky High"
99,"Unsealed Seiton Tenchu"
100,"Midare"
101,"Soulsow"
102,""
103,"Astral Fire II"
104,""
105,"Umbral Ice II"
106,"Polyglot"
107,"Dreadwyrm Trance"
108,"Firebird Trance"
109,"Vermilion Radiance"
110,"●デプラスマン実行可"
111,"Fleeting Raiju Ready"
112,"Recitation"
113,"Analysis"
114,"Astral Fire III"
115,"Umbral Ice III"
116,"Flankstung Venom"
117,"Flanksbane Venom"
118,"Hindstung Venom"
119,"Hindsbane Venom"
120,"Grimhunter's Venom"
121,"Grimskin's Venom"
122,""
123,""
124,""
125,""
126,""
127,""
128,"Hunter's Venom"
129,"Swiftskin's Venom"
130,"Fellhunter's Venom"
131,"Fellskin's Venom"
132,""
133,""
134,""
135,""
136,"Poised for Twinfang"
137,"Poised for Twinblood"
138,"Aetherhues"
139,"Aetherhues II"
140,""
141,""
142,"Hammer Time"
143,"Starstruck"
144,"Rainbow Bright"
145,"Tempera Coat"
146,""
147,"Precision"
148,""
149,"Supplication Ready"
150,"Sepulchre Ready"
151,"Blade of Honor Ready"
152,"Wrathful"
153,"Primal Ruination Ready"
154,"Delirium"
155,"Scorn"
156,"Ready to Raze"
157,"Ready to Reign"
158,"Earth's Rumination"
159,"Wind's Rumination"
160,"Fire's Rumination"
161,"Dragon's Flight"
162,"Starcross Ready"
163,"Shadow Walker"
164,"Higi"
165,"Tenri Jindo Ready"
166,"Zanshin Ready"
167,"Oblatio"
168,"Executioner"
169,"Perfectio Parata"
170,"Resonant Arrow Ready"
171,"Radiant Encore Ready"
172,"Excavator Ready"
173,"Full Metal Machinist"
174,"Last Dance Ready"
175,"Finishing Move Ready"
176,"Dance of the Dawn Ready"
177,"Thunderhead"
178,"Ruby's Glimmer"
179,"Thorned Flourish"
180,"Grand Impact Ready"
181,"Sacred Sight"
182,"Divine Grace"
183,"Impact Imminent"
184,"Divining"
185,"Suntouched"
186,"Subtractive Palette"
187,"Nastrond Ready"
188,"Prefulgence Ready"
189,"Nascent Chaos"
190,"Hawk's Eye"
191,"Refulgent Lux"
192,"Monochrome Tones"
193,"Subtractive Spectrum"
194,""
195,""
196,""
197,""
198,""
199,""
200,""
201,""
202,""
203,""
204,""
205,""
206,""
207,"Moogle Portrait"
208,"Madeen Portrait"
209,"Goring Blade Ready"
210,"Ready to Break"
211,"Starstruck"
212,"Tempera Coat"
213,"Pom Motif"
214,"Wing Motif"
215,"Claw Motif"
216,"Maw Motif"
217,"Hardened Scales"
218,"Ready to Reawaken"
