key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,MapCondition,PriorityCategoryUI,PriorityUI,MapIndex,Hierarchy,MapMarkerRange,Id,SizeFactor,Offset{X},Offset{Y},PlaceName{Region},PlaceName,PlaceName{Sub},DiscoveryIndex,DiscoveryFlag,TerritoryType,DiscoveryArrayByte,IsEvent,,
int32,MapCondition,byte,byte,sbyte,byte,uint16,str,uint16,int16,int16,PlaceName,PlaceName,PlaceName,int16,uint32,TerritoryType,bit&01,bit&02,bit&04,byte
0,"",0,0,0,0,0,"",100,0,0,"","","",-1,0,,True,False,False,0
1,"",0,0,0,1,0,"default/00",100,0,0,"???","Eorzea","",-1,0,"",True,False,False,0
2,"",2,2,0,1,3,"f1t1/00",200,0,0,"The Black Shroud","New Gridania","",-1,0,"f1t1",True,False,False,0
3,"",2,3,0,1,4,"f1t2/00",200,0,0,"The Black Shroud","Old Gridania","",-1,0,"f1t2",True,False,False,0
4,"",2,5,0,1,5,"f1f1/00",100,0,0,"The Black Shroud","Central Shroud","",0,16382,"f1f1",True,False,False,0
5,"",2,6,0,1,6,"f1f2/00",100,0,0,"The Black Shroud","East Shroud","",0,1048574,"f1f2",False,False,False,0
6,"",2,7,0,1,7,"f1f3/00",100,0,0,"The Black Shroud","South Shroud","",1,131070,"f1f3",False,False,False,0
7,"",2,8,0,1,8,"f1f4/00",100,0,0,"The Black Shroud","North Shroud","",2,131070,"f1f4",False,False,False,0
8,"",2,9,0,1,10,"f1d1/00",300,0,0,"The Black Shroud","The Tam-Tara Deepcroft","",1,4094,"f1d1_re",True,False,False,0
9,"",2,10,0,1,21,"f1r1/00",200,0,0,"The Black Shroud","The Thousand Maws of Toto-Rak","",2,16382,"f1r1_re",True,False,False,0
10,"",0,0,0,1,0,"default/00",100,0,0,"???","Mordion Gaol","",-1,0,"z1ea",True,True,False,0
11,"",1,2,0,1,71,"s1t1/01",200,0,0,"La Noscea","Limsa Lominsa Upper Decks","",-1,0,"s1t1",True,False,False,0
12,"",1,3,0,1,72,"s1t2/01",200,0,0,"La Noscea","Limsa Lominsa Lower Decks","",-1,0,"s1t2",True,False,False,0
13,"",3,2,0,1,59,"w1t1/01",200,0,0,"Thanalan","Ul'dah - Steps of Nald","",-1,0,"w1t1",True,False,False,0
14,"",3,3,1,1,60,"w1t2/01",200,0,0,"Thanalan","Ul'dah - Steps of Thal","Merchant Strip",-1,0,"w1t2",True,False,False,0
15,"",1,6,0,1,74,"s1f1/00",100,0,0,"La Noscea","Middle La Noscea","",3,254,"s1f1",True,False,False,0
16,"",1,7,0,1,75,"s1f2/00",100,0,0,"La Noscea","Lower La Noscea","",4,2046,"s1f2",True,False,False,0
17,"",1,8,0,1,76,"s1f3/01",100,0,0,"La Noscea","Eastern La Noscea","",5,32766,"s1f3",True,False,False,0
18,"",1,9,0,1,77,"s1f4/00",100,0,0,"La Noscea","Western La Noscea","",3,1048574,"s1f4",False,False,False,0
19,"",1,10,0,1,78,"s1f5/00",100,0,0,"La Noscea","Upper La Noscea","",6,510,"s1f5",True,False,False,0
20,"",3,6,0,1,40,"w1f1/00",100,0,0,"Thanalan","Western Thanalan","",7,8190,"w1f1",True,False,False,0
21,"",3,7,0,1,39,"w1f2/00",100,0,0,"Thanalan","Central Thanalan","",8,16382,"w1f2",True,False,False,0
22,"",3,8,0,1,41,"w1f3/00",100,0,0,"Thanalan","Eastern Thanalan","",4,262142,"w1f3",False,False,False,0
23,"",3,9,0,1,42,"w1f4/01",100,0,0,"Thanalan","Southern Thanalan","",5,1048574,"w1f4",False,False,False,0
24,"",3,10,0,1,43,"w1f5/00",100,0,0,"Thanalan","Northern Thanalan","",9,510,"w1f5",True,False,False,0
25,"",5,2,0,1,108,"l1f1/01",100,0,0,"Mor Dhona","Mor Dhona","",6,131070,"l1f1",False,False,False,0
26,"",0,0,0,1,68,"s1ti/00",800,0,0,"La Noscea","Mizzenmast Inn","",-1,0,"s1ti",True,False,False,0
27,"",0,0,0,1,70,"w1ti/00",800,0,0,"Thanalan","The Hourglass","",-1,0,"w1ti",True,False,False,0
28,"",0,0,0,1,69,"f1ti/00",800,0,0,"The Black Shroud","The Roost","",-1,0,"f1ti",True,False,False,0
29,"",0,0,0,1,0,"default/00",200,0,0,"","","",-1,0,"",True,False,False,0
30,"",1,11,0,1,79,"s1f6/00",100,0,0,"La Noscea","Outer La Noscea","",10,510,"s1f6",True,False,False,0
31,"",1,12,0,1,80,"s1d1/00",200,0,0,"La Noscea","Sastasha","",11,4094,"s1d1_re",True,False,False,0
32,"",1,14,0,1,82,"s1d3/00",200,0,0,"La Noscea","The Wanderer's Palace","",12,1022,"s1d3",True,False,False,0
33,"",0,0,0,1,0,"s1fa/00",400,0,0,"La Noscea","The Navel","",-1,0,"s1fa_re",True,False,False,0
34,"",3,11,1,1,44,"w1d1/01",200,0,0,"Thanalan","Copperbell Mines","Ground Level",13,6,"w1d1_re",True,False,False,0
35,"",0,0,0,1,0,"w1fa/00",400,0,0,"Thanalan","Bowl of Embers","",-1,0,"w1fa_re",True,False,False,0
36,"",0,0,0,1,0,"f1fa/00",400,0,0,"The Black Shroud","Thornmarch","",-1,0,"f1fa_re",True,False,False,0
37,"",4,7,0,1,103,"r1d1/00",200,0,0,"Coerthas","Stone Vigil","",14,1022,"r1d1_re",True,False,False,0
38,"",4,9,0,1,106,"r1r2/00",200,0,0,"Coerthas","Aurum Vale","",15,2046,"r1r2",True,False,False,0
39,"",0,0,1,1,0,"r1fa/01",400,0,0,"Coerthas","The Howling Eye","",-1,0,"r1fa_re",True,False,False,0
40,"",3,11,2,1,45,"w1d1/02",200,0,0,"Thanalan","Copperbell Mines","First Drop",13,16632,"w1d1_re",True,False,False,0
41,"",3,11,3,1,46,"w1d1/03",200,0,0,"Thanalan","Copperbell Mines","B2",13,16128,"w1d1_re",True,False,False,0
42,"",3,13,1,1,48,"w1d3/01",200,0,0,"Thanalan","The Sunken Temple of Qarn","Sanctum Entrance",7,2,"w1d3",False,False,False,0
43,"",3,13,2,1,49,"w1d3/02",200,0,0,"Thanalan","The Sunken Temple of Qarn","Inner Sanctum",7,131068,"w1d3",False,False,False,0
44,"",3,13,3,1,50,"w1d3/03",200,0,0,"Thanalan","The Sunken Temple of Qarn","Lower Sanctum",7,917504,"w1d3",False,False,False,0
45,"",1,13,0,1,81,"s1d2/00",200,0,0,"La Noscea","Brayflox's Longstop","",16,65534,"s1d2_re",True,False,False,0
46,"",3,12,0,1,47,"w1d2/00",200,0,0,"Thanalan","Halatali","",17,1022,"w1d2",True,False,False,0
47,"",3,15,0,1,516,"w1d4/00",200,0,0,"Thanalan","Castrum Meridianum","",18,65534,"w1d4_re",True,False,False,0
48,"",2,11,2,1,12,"f1d2/01",200,0,0,"The Black Shroud","Haukke Manor","Ground Floor",8,510,"f1d2_re",False,False,False,0
49,"",2,12,1,1,14,"f1d3/01",200,0,0,"The Black Shroud","Amdapor Keep","Ground Floor",19,14,"f1d3",True,False,False,0
50,"",4,8,1,1,104,"r1r1/01",200,0,0,"Coerthas","Dzemael Darkhold","Outer Hold",25,62,"r1r1",True,False,False,0
51,"",1,5,0,1,83,"s1p1/00",400,-77,0,"La Noscea","Wolves' Den Pier","",-1,0,"s1p1",True,False,False,0
52,"",3,14,1,1,63,"w1r1/01",200,0,0,"Thanalan","Cutter's Cry","The Dry Sands",20,158,"w1r1",True,False,False,0
53,"",4,5,0,1,102,"r1f1/00",100,0,0,"Coerthas","Coerthas Central Highlands","",9,8388606,"r1f1",False,False,False,0
54,"",2,11,1,1,11,"f1d2/02",200,0,0,"The Black Shroud","Haukke Manor","Second Floor",8,1966080,"f1d2_re",False,False,False,0
55,"",2,11,3,1,13,"f1d2/03",200,0,0,"The Black Shroud","Haukke Manor","Cellarage",8,130560,"f1d2_re",False,False,False,0
56,"",3,16,1,1,517,"w1d5/01",200,0,0,"Thanalan","The Praetorium","Sky Level",26,2,"w1d5_re",True,False,False,0
57,"",0,0,0,1,87,"s1b1/00",200,0,0,"La Noscea","Upper Aetheroacoustic Exploratory Site","",21,254,"s1b1",True,False,False,0
58,"",0,0,0,1,88,"s1b2/00",200,0,0,"La Noscea","Lower Aetheroacoustic Exploratory Site","",22,6,"s1b2",True,False,False,0
59,"",0,0,0,1,92,"s1b4/00",200,0,0,"La Noscea","Ragnarok Drive Cylinder","",-1,0,"s1b4",True,False,False,0
60,"",0,0,0,1,93,"s1b5/00",200,0,0,"La Noscea","Ragnarok Central Core","",23,14,"s1b5",True,False,False,0
61,"",0,0,0,1,94,"default/00",100,0,0,"La Noscea","Ragnarok Main Bridge","",-1,0,"s1b7",True,False,False,0
62,"",0,0,1,1,89,"s1b3/01",200,0,0,"La Noscea","The Ragnarok","Engine Room",24,2,"s1b3",True,False,False,0
63,"",0,0,2,1,90,"s1b3/02",200,0,0,"La Noscea","The Ragnarok","Compression Chamber",24,4,"s1b3",True,False,False,0
64,"",0,0,3,1,91,"s1b3/03",200,0,0,"La Noscea","The Ragnarok","Propellant Chamber",24,8,"s1b3",True,False,False,0
65,"",0,0,3,1,25,"f1b3/01",200,0,0,"The Black Shroud","Central Decks","Lower Decks",36,2,"f1b3",True,False,False,0
66,"",0,0,2,1,26,"f1b3/02",200,0,0,"The Black Shroud","Central Decks","Main Decks",36,52,"f1b3",True,False,False,0
67,"",0,0,1,1,27,"f1b3/03",200,0,0,"The Black Shroud","Central Decks","Upper Decks",36,8,"f1b3",True,False,False,0
68,"",0,0,0,1,29,"f1e4/00",800,0,0,"The Black Shroud","Seat of the First Bow","",-1,0,"f1e4",True,True,False,0
69,"",0,0,0,1,30,"f1e5/00",400,0,0,"The Black Shroud","Lotus Stand","",-1,0,"f1e5",True,True,False,0
70,"",3,2,0,1,61,"w1t1/02",200,0,0,"Thanalan","Ul'dah - Steps of Nald","Airship Landing",-1,0,"w1t1",True,False,False,0
71,"",5,4,1,1,110,"l1r1/01",200,0,0,"Mor Dhona","Labyrinth of the Ancients","Lower Labyrinth",30,16382,"l1r1",True,False,False,0
72,"",1,4,1,1,86,"s1h1/01",200,0,0,"La Noscea","Mist","Mist",-1,0,"s1h1",True,False,False,0
73,"",3,3,2,1,62,"w1t2/02",200,0,0,"Thanalan","Ul'dah - Steps of Thal","Hustings Strip",-1,0,"w1t2",True,False,False,0
74,"",1,2,0,1,73,"s1t1/02",200,0,0,"La Noscea","Limsa Lominsa Upper Decks","Airship Landing",-1,0,"s1t1",True,False,False,0
75,"",0,0,0,1,31,"s1e4/00",800,0,0,"La Noscea","Command Room","",-1,0,"s1e4",True,True,False,0
76,"",0,0,0,1,0,"w1fa/10",400,0,0,"???","The Memory of Embers","",-1,0,"w1fd",True,False,False,0
77,"",0,0,0,0,0,"",100,0,0,"","","",-1,0,,True,False,False,0
78,"",0,0,0,1,34,"w1e4/00",400,0,0,"Thanalan","Heart of the Sworn","",-1,0,"w1e4",True,True,False,0
79,"",0,0,0,0,0,"",100,0,0,"","","",-1,0,,True,False,False,0
80,"",0,0,0,1,36,"w1e6/00",400,0,0,"Thanalan","The Waking Sands","",-1,0,"w1e6",True,True,False,3
81,"",0,0,0,1,84,"s1p2/00",400,0,0,"La Noscea","The Fold","",-1,0,"",True,False,False,0
82,"",2,4,1,1,66,"f1h1/01",200,0,0,"The Black Shroud","The Lavender Beds","The Lavender Beds",-1,0,"f1h1",True,False,False,0
83,"",3,4,1,1,67,"w1h1/01",200,0,0,"Thanalan","The Goblet","The Goblet",-1,0,"w1h1",True,False,False,0
84,"",2,12,2,1,15,"f1d3/02",200,0,0,"The Black Shroud","Amdapor Keep","Second Floor",19,240,"f1d3",True,False,False,0
85,"",2,12,3,1,16,"f1d3/03",200,0,0,"The Black Shroud","Amdapor Keep","Third Floor",19,3840,"f1d3",True,False,False,0
86,"",4,8,2,1,105,"r1r1/02",200,0,0,"Coerthas","Dzemael Darkhold","Inner Hold",25,8128,"r1r1",True,False,False,0
87,"",1,1,0,3,131,"region/00",100,0,0,"La Noscea","La Noscea","",-1,0,,True,False,False,0
88,"",3,1,0,3,132,"region/02",100,0,0,"Thanalan","Thanalan","",-1,0,,True,False,False,0
89,"",2,1,0,3,133,"region/01",100,0,0,"The Black Shroud","The Black Shroud","",-1,0,,True,False,False,0
90,"",4,1,0,3,134,"region/03",100,0,0,"Coerthas","Coerthas","",-1,0,,True,False,False,0
91,"",5,1,0,3,135,"region/04",100,0,0,"Mor Dhona","Mor Dhona","",-1,0,,True,False,False,0
92,"",10,1,0,2,136,"world/00",100,0,0,"Eorzea","Eorzea","",-1,0,,True,False,True,0
93,"",0,0,0,1,291,"w1f4/02",100,0,0,"Thanalan","Southern Thanalan","Zanr'ak",-1,0,"w1f4",True,True,False,0
94,"",0,0,0,1,37,"w1e6/00",400,0,0,"Thanalan","The Waking Sands","",-1,0,"w1e6",True,True,False,3
95,"",0,0,0,1,85,"o1e2/00",400,0,0,"La Noscea","Rhotano Sea","",-1,0,,True,False,False,0
96,"",3,14,2,1,64,"w1r1/02",200,0,0,"Thanalan","Cutter's Cry","The Wet Sands",20,96,"w1r1",True,False,False,0
97,"",3,14,3,1,65,"w1r1/03",200,0,0,"Thanalan","Cutter's Cry","The Blue Sands",20,1792,"w1r1",True,False,False,0
98,"",0,0,2,1,293,"r1fa/02",400,0,0,"Coerthas","The Howling Eye","",-1,0,"r1fa_event",True,True,False,0
99,"",3,16,2,1,518,"w1d5/02",200,0,0,"Thanalan","The Praetorium","Castrum Control",26,28,"w1d5_re",True,False,False,0
100,"",3,16,3,1,519,"w1d5/03",200,0,0,"Thanalan","The Praetorium","Castrum Defense",26,96,"w1d5_re",True,False,False,0
101,"",3,16,4,1,520,"w1d5/04",200,0,0,"Thanalan","The Praetorium","Main Level",26,896,"w1d5_re",True,False,False,0
102,"",0,0,0,1,57,"w1d5/05",200,0,0,"Thanalan","The Praetorium","Ground Level",-1,0,"w1d5_re",True,False,False,0
103,"",3,16,5,1,521,"w1d5/06",100,0,0,"Thanalan","The Praetorium","Research Level",26,63488,"w1d5_re",True,True,False,0
104,"",0,0,6,1,0,"w1d5/07",100,0,0,"Thanalan","The Praetorium","The Echelon",26,1024,"w1d5_re",True,False,False,0
105,"",0,0,0,1,0,"l1f1/02",400,0,0,"Mor Dhona","Mor Dhona","",-1,0,"l1f1",True,True,False,0
106,"",0,0,0,1,0,"default/00",100,0,0,"???","Eorzean Subterrane","",-1,0,"s1b7_2",True,False,False,0
107,"",0,0,0,1,38,"w1e6/00",400,0,0,"Thanalan","The Waking Sands","",-1,0,"w1e6",True,True,False,3
108,"",1,15,1,1,95,"s1d4/01",200,0,0,"La Noscea","Pharos Sirius","Flood Cellar",27,6,"s1d4",True,False,False,0
109,"",0,0,1,1,0,"s1i1/01",400,0,0,"La Noscea","Private Cottage - Mist","Ground Floor",-1,0,"s1i1",True,False,False,0
110,"",0,0,2,1,0,"s1i2/01",400,0,0,"La Noscea","Private House - Mist","Ground Floor",-1,0,"s1i2",True,False,False,0
111,"",0,0,1,1,0,"s1i2/02",400,0,0,"La Noscea","Private House - Mist","Second Floor",-1,0,"s1i2",True,False,False,0
112,"",0,0,3,1,0,"s1i2/03",400,0,0,"La Noscea","Private House - Mist","Cellarage",-1,0,"s1i2",True,False,False,0
113,"",0,0,2,1,0,"s1i3/01",400,0,0,"La Noscea","Private Mansion - Mist","Ground Floor",-1,0,"s1i3",True,False,False,0
114,"",0,0,1,1,0,"s1i3/02",400,0,0,"La Noscea","Private Mansion - Mist","Second Floor",-1,0,"s1i3",True,False,False,0
115,"",0,0,3,1,0,"s1i3/03",400,0,0,"La Noscea","Private Mansion - Mist","Cellarage",-1,0,"s1i3",True,False,False,0
