key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
#,Content[0],Content[1],Content[2],Content[3],Content[4],Content[5],Content[6],Content[7],Content[8],Content[9],Content[10],Content[11],Content[12],Content[13],Content[14],Content[15],CandidateName[0],CandidateName[1],CandidateName[2],CandidateName[3],CandidateName[4],CandidateName[5],CandidateName[6],CandidateName[7],CandidateName[8],CandidateName[9],CandidateName[10],CandidateName[11],CandidateName[12],CandidateName[13],CandidateName[14],CandidateName[15]
int32,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName
0,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","","","","","","","","","","","","","","",""
1,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","","","","","","","","","","","","","","",""
2,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Talk about Ryne's first report.","Talk about Ryne's second report.","Talk about the final report.","","","","","","","","","","","","",""
3,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Talk about Titania.","Talk about Innocence.","Talk about Hades.","Talk about the Warrior of Light.","","","","","","","","","","","",""
4,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Talk about Lakshmi.","Talk about Susano.","Talk about Shinryu.","Talk about Tsukuyomi.","Talk about Byakko.","Talk about Suzaku.","Talk about Seiryu.","Talk about Bahamut.","Talk about the Ultima Weapon.","Talk about Alexander.","","","","","",""
5,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","The Ruby Weapon.","The Emerald Weapon.","The Diamond Weapon.","","","","","","","","","","","","",""
6,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Talk about Varis.","","","","","","","","","","","","","","",""
7,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Access the Savage Initiative","Access the Savage Initiative - Phase 2","Access the Savage Initiative - Phase 3","","","","","","","","","","","","",""
8,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Talk about Zodiark.","Talk about Hydaelyn.","Talk about the Endsinger.","Talk about Barbariccia.","Talk about Rubicante.","Talk about Golbez.","Talk about Zeromus.","Talk about the Dragonsong War.","Talk about Omega.","","","","","","",""
9,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Recount tales of Asphodelos.","Recount tales of Abyssos and beyond.","Recount the threat to the aetherial sea.","","","","","","","","","","","","",""
10,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","The Sil'dihn Subterrane.","The novelization of the Sil'dihn Subterrane.","Mount Rokkon.","The novelization of Mount Rokkon.","Aloalo Island.","The novelization of Aloalo Island.","","","","","","","","","",""
11,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","","","","","","","","","","","","","","",""
12,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Talk about Valigarmanda.","Talk about Zoraal Ja.","","","","","","","","","","","","","",""
